Model,Accuracy,Balanced Accuracy,Precision Macro,Precision Weighted,Recall Macro,Recall Weighted,F1 Macro,F1 Weighted,MCC,Cohen Kappa,Train Time,Inference Time,ROC AUC OvR Macro,ROC AUC OvR Weighted,Log Loss
Decision Tree,0.7790697674418605,0.728792735042735,0.7349753694581281,0.780902737999771,0.728792735042735,0.7790697674418605,0.7308372124401267,0.77872382485421,0.6464454514668522,0.6451682953311617,0.058344364166259766,0.009342670440673828,0.8072499693001517,0.8285608053363521,7.963132725502627
LDA,0.7906976744186046,0.7118589743589743,0.734115347018573,0.778251381027075,0.7118589743589743,0.7906976744186046,0.7181350554844531,0.7810127981044205,0.6610682165207072,0.6577492814503647,0.06088566780090332,0.005429744720458984,0.8743594643826264,0.9067154682820474,0.6227481133715622
Bagging,0.8023255813953488,0.7123397435897436,0.7553418803418803,0.7926729278473464,0.7123397435897436,0.8023255813953488,0.7163733048607512,0.7867742348936897,0.683527255519707,0.675615708897271,0.6214749813079834,0.03542947769165039,0.9046776132614522,0.9302159420503079,0.4833675346788154
RBF SVM,0.7674418604651163,0.7183760683760684,0.719980506822612,0.7896538827689379,0.7183760683760684,0.7674418604651163,0.7149690169996341,0.7751435126472218,0.6358999204872283,0.6330275229357798,0.09861636161804199,0.0,0.863478608359864,0.8996971548351078,0.5752916743041299
Logistic Regression,0.7674418604651163,0.7183760683760684,0.714608507711956,0.7808072707832131,0.7183760683760684,0.7674418604651163,0.7145095341816653,0.7727099435067412,0.6334875101464009,0.6322428907419286,0.06515216827392578,0.004718780517578125,0.8587029872553297,0.8931557715453572,0.6001844235640571
Gaussian NB,0.7790697674418605,0.7151175213675214,0.7161312506140093,0.79557604918471,0.7151175213675214,0.7790697674418605,0.7137834842752876,0.7859667972134613,0.6519115635358465,0.6506307462048322,0.06389069557189941,0.002008676528930664,0.8653100010572415,0.8990177342391069,1.103819341432959
Linear SVM,0.7790697674418605,0.7033119658119658,0.7067750677506774,0.779372282094914,0.7033119658119658,0.7790697674418605,0.7045698924731183,0.7786477869467368,0.6462722917962089,0.6457068516912403,0.10654878616333008,0.003263235092163086,0.8466717522406265,0.8865566997749504,0.599250996208143
Gradient Boosting,0.8023255813953488,0.700534188034188,0.800854700854701,0.8036672629695886,0.700534188034188,0.8023255813953488,0.7030893177998029,0.7761157816840751,0.6838217559152914,0.6703494926719278,1.5906562805175781,0.006204843521118164,0.9165509970727358,0.9390779315879149,0.49752547764986066
AdaBoost,0.7674418604651163,0.6928952991452991,0.6962271926866733,0.7619500693988828,0.6928952991452991,0.7674418604651163,0.6941479656996897,0.7642874645180179,0.6261060125697351,0.6256800870511425,0.49137353897094727,0.014881372451782227,0.8186130166005429,0.8783886174820101,1.0391994617781615
Bernoulli NB,0.7790697674418605,0.6915064102564102,0.702020202020202,0.7616279069767442,0.6915064102564102,0.7790697674418605,0.6931940487496043,0.768111044855231,0.6418519315679673,0.6398501212254795,0.0483250617980957,0.008454084396362305,0.8714720155763134,0.8953883931809377,0.6847090693722585
Random Forest,0.813953488372093,0.6954059829059829,0.8717195456325891,0.8408780367829912,0.6954059829059829,0.813953488372093,0.6911622620062517,0.7765003271278177,0.7054078627917129,0.6853418705694032,0.6332213878631592,0.018912792205810547,0.9036544127492522,0.934139855719432,0.4959276262371164
MLP,0.7674418604651163,0.6792200854700855,0.6867758606318247,0.7524141209721035,0.6792200854700855,0.7674418604651163,0.6806899815029896,0.7580963185047132,0.6236396471723386,0.6217286122718275,0.9173893928527832,0.0,0.8509735462643514,0.8827842344996731,1.2740328179325295
Ridge Classifier,0.7790697674418605,0.666025641025641,0.7719858156028369,0.7758411677387431,0.666025641025641,0.7790697674418605,0.6629398905107267,0.745747366891596,0.6434182648767858,0.6271959844855122,0.052451372146606445,0.0005347728729248047,,,
Extra Trees,0.8023255813953488,0.6731837606837606,0.7594541910331385,0.782904936760506,0.6731837606837606,0.8023255813953488,0.6534391534391534,0.7571982281284607,0.6854097176539294,0.6662100456621004,0.5286059379577637,0.02342081069946289,0.9104172687465439,0.9367806523934783,0.49352898942888956
Hist Gradient Boosting,0.7674418604651163,0.6593482905982906,0.6557057057057056,0.73524512884978,0.6593482905982906,0.7674418604651163,0.6504464012719379,0.7467229183465376,0.6237991679801784,0.6192162940004428,0.7323651313781738,0.0061833858489990234,0.8888809987076893,0.9197586788899135,0.8451651379275981
SGD Classifier,0.6744186046511628,0.6580662393162394,0.668040293040293,0.7534021211346793,0.6580662393162394,0.6744186046511628,0.6438249921878235,0.7001400807072906,0.5219373578339407,0.5081699346405228,0.05379080772399902,0.0017244815826416016,0.8700857831314329,0.8949919945940603,1.422636896722071
KNN,0.7093023255813954,0.6072649572649572,0.6130434782608696,0.6851870576339738,0.6072649572649572,0.7093023255813954,0.6047311827956989,0.6927231807951988,0.5263349291092873,0.5213713268032056,0.041895389556884766,3.0280675888061523,0.824393586392575,0.8697576077167828,2.5219832107323197
QDA,0.37209302325581395,0.41597222222222224,0.22723765432098766,0.2104193583118002,0.41597222222222224,0.37209302325581395,0.29308922975424706,0.26828763103690323,0.13605334336795039,0.1048573631457208,0.06223344802856445,0.002079486846923828,0.7225929131089704,0.7759369086769411,9.404120508128265
