feature,mutual_information
C4H8O,0.31148022168439127
C13H22O,0.3048311784842954
C4HO8O2,0.2742423888651859
C7H11O,0.27422703094732936
C5H10O,0.1818453471851451
C3H4O2,0.11268622500084491
C6H10O2,0.10915892359535317
C11H22O,0.10397234915581177
C2H4O2,0.09718939175139374
C9H16O2,0.08479262184681224
C7H6O,0.08399128671774969
C2H4O,0.08012340688001918
C7H14O,0.06873418666167552
C6H12O,0.05431079737617717
C13H26O,0.04174722943515197
C12H24O,0.030056431860702837
C3H6O,0.02776349067930073
CH2O,0.013272674126360684
C4H6O,0.009415968766292693
C15H10O,0.006491442307142048
C5H8O,0.003962014017997895
C4H6O2,0.0006306385190435471
C8H16O,0.0
C10H20O,0.0
C9H18O,0.0
C3H4O,0.0
C4H4O2,0.0
