component,explained_variance_ratio,cumulative_variance
1,0.5401975458513514,0.5401975458513514
2,0.12017900123132538,0.6603765470826768
3,0.08884747671073216,0.7492240237934089
4,0.038858077931116855,0.7880821017245258
5,0.03136462626709037,0.8194467279916161
6,0.029755746792642625,0.8492024747842587
7,0.023464110086912387,0.8726665848711711
8,0.018358624786793065,0.8910252096579642
9,0.017334849899338384,0.9083600595573026
10,0.012804895355358859,0.9211649549126615
11,0.012100562385343122,0.9332655172980046
12,0.010852257913808977,0.9441177752118135
13,0.009133472636971658,0.9532512478487851
14,0.008888198817097568,0.9621394466658827
15,0.007671913685974805,0.9698113603518574
16,0.006626981341425274,0.9764383416932827
17,0.0060580320280557605,0.9824963737213385
18,0.005423580230119328,0.9879199539514578
19,0.004669070741387134,0.9925890246928449
20,0.0037918088259344352,0.9963808335187794
21,0.003619152082006292,0.9999999856007856
22,8.4751530376677e-09,0.9999999940759386
23,3.6612091955364252e-09,0.9999999977371479
24,1.152452893607847e-09,0.9999999988896008
25,7.772109195915576e-10,0.9999999996668117
26,3.32006702347714e-10,0.9999999999988185
27,1.181488664360888e-12,1.0
