Model,MAE,MSE,RMSE,R2,Adjusted R2,Median Absolute Error,Explained Variance,Max Error,Train Time,Inference Time
MLP Regressor,0.4356178622225359,0.7512907888167679,0.8667703206829177,0.14867659392169696,-0.22648287316365678,0.31681042220571176,0.15186569669307248,6.826182064682028,0.6570065021514893,0.0003445148468017578
Linear Regression,0.38973127388869144,0.7723553184846954,0.8788374812698281,0.12480737123020058,-0.2608707363632703,0.2649325674597264,0.12514273592722813,7.268604328484777,0.08496332168579102,0.0044040679931640625
SGD Regressor,0.3786119678472026,0.7769116202852162,0.8814259017553411,0.11964440846574409,-0.2683089030578263,0.2339817968151287,0.12244422904339458,7.319343759966726,0.04926490783691406,0.0033440589904785156
RBF SVR,0.322709204435299,0.7769633492356404,0.881455245168829,0.11958579192615193,-0.2683933506148659,0.15045040797181547,0.14314004491149235,7.44120590718579,0.04117393493652344,0.0
Ridge,0.385458298201406,0.7817723125805145,0.884178891729787,0.11413652632166915,-0.27624398750267987,0.2525351023822243,0.11510227620108993,7.333323367451828,0.05550813674926758,0.00807809829711914
Gradient Boosting,0.3290986684643307,0.7850046829323288,0.8860049000611276,0.11047377339221154,-0.28152083494342417,0.14705541921770576,0.11223256228318557,7.42806817001509,0.5007462501525879,0.0
Hist Gradient Boosting,0.3200424948523785,0.7898534474947184,0.8887369956824789,0.10497940713087839,-0.28943644735381935,0.1514183591471606,0.11189192511321766,7.514518539001966,0.33900022506713867,0.004241943359375
KNN Regressor,0.35545538313255803,0.8029418169408163,0.8960702075958202,0.09014835180220615,-0.3108032219798724,0.1945064671999999,0.09576515071597802,7.502599999999999,0.03672957420349121,0.008852958679199219
Extra Trees,0.3451138699701938,0.805125958313624,0.8972881133246021,0.0876733970968735,-0.314368834690945,0.17497190943333346,0.08926173829815431,7.5777378752699995,0.9776351451873779,0.024694204330444336
Bagging,0.35446315049081395,0.8127733127035195,0.9015394127288721,0.07900781529605427,-0.32685314745483707,0.16880671658999996,0.07998489072846282,7.439733498299999,0.9059159755706787,0.015952587127685547
Random Forest,0.3490282489467441,0.8191047771284202,0.9050440746883105,0.07183333114171075,-0.33718926869414556,0.16395052039666674,0.07313837107709975,7.499084284906666,2.2181944847106934,0.01631617546081543
Huber,0.34501943895297926,0.8258889257185811,0.9087843119896938,0.06414588898071594,-0.34826439723117186,0.18397990068935458,0.09212063023505623,7.669015502014925,0.05047106742858887,0.0
AdaBoost,0.4606741012106955,0.826312300701316,0.9090172169443855,0.06366614260592296,-0.34895555726265326,0.37426984912697514,0.08702614607307846,7.194203389830507,0.4159071445465088,0.008617639541625977
Linear SVR,0.34921746818331256,0.8579439856830383,0.9262526575848721,0.02782277250278775,-0.40059431080106855,0.1720189286178587,0.06809788391414995,7.7741252348825025,0.09071755409240723,0.0
Lasso,0.4073109936089819,0.8842090092266971,0.9403238852792676,-0.001939377701569045,-0.4434719848242943,0.2791060952756598,0.0,7.79239390472434,0.045417070388793945,0.0
ElasticNet,0.4073109936089819,0.8842090092266971,0.9403238852792676,-0.001939377701569045,-0.4434719848242943,0.2791060952756598,0.0,7.79239390472434,0.05005288124084473,0.0
Decision Tree,0.45608482505813963,1.0392780138759412,1.0194498584412777,-0.17765545885182443,-0.6966222712272045,0.235,-0.16839641584592058,8.017999999999999,0.041231632232666016,0.00817108154296875
